model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
IPAD_eq_50%,0.5070797502994537,0.4969717777642864,0.33064700343753656,0.5050926290391559,0.48910792763205335,0.4946110248565674,0.506290209918753,0.3389481767346617,0.5932011624300761,0.4415918117803991,False,False,False,False,False,False,False,False,False,False
IPAD_eq_25%,0.5115653574466705,0.49291824597455997,0.327068020469339,0.44784921797397176,0.5480732580204511,0.465954065322876,0.5357545766625026,0.3658912420851837,0.5073813291744074,0.5674891084537211,False,False,False,False,False,False,False,False,False,False
IPAD_eq_3%,0.8960756957530975,0.0,0.0,0.0,0.0,0.8864957690238953,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_75%,0.49235159158706665,0.5113928833690996,0.34353784665930703,0.4505968581125118,0.5911532431034732,0.4505990147590637,0.5498226897517657,0.3791416993399584,0.5135419991241678,0.591619388021223,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_50%,0.5063405930995941,0.49588924213098984,0.3296893127960566,0.4064319090540334,0.6358403059216694,0.45011210441589355,0.5504708955914491,0.3797584290769083,0.4714994314215072,0.6612183995519395,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_25%,0.5146056115627289,0.48931241962075395,0.32390047153092766,0.41551449015739816,0.5949855053950424,0.47183531522750854,0.5298411959204582,0.3603972539906591,0.46947129350868855,0.6080283201580182,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_3%,0.981402188539505,0.0,0.0,0.0,0.0,0.9806908965110779,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_75%,0.5029721856117249,0.5013082266354942,0.33449721653577674,0.5136963642850193,0.4895035159976347,0.4704654812812805,0.5302417211738111,0.36076797716511894,0.5924557384318155,0.4798522426538177,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_50%,0.5028958320617676,0.5001546489752022,0.33347081326315553,0.4623172693572078,0.5447375415419293,0.4622355103492737,0.5390964919366281,0.36901581039481157,0.5508025445882888,0.5278776555492375,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_25%,0.5138142704963684,0.4902637462273776,0.3247346978667805,0.4635292951469071,0.5202708132019376,0.49014174938201904,0.5113271451525275,0.3434785174509798,0.5566932463452942,0.472797855466295,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_3%,0.6161848306655884,0.3843757443914143,0.23791159550685545,0.2948724299677566,0.5518931581755959,0.5711811780929565,0.4330651944587731,0.27637728955110563,0.3395609040382448,0.5976348563684015,False,False,False,False,False,False,False,False,False,False
IPAD1_75%,0.4986568093299866,0.5039264108915845,0.33683263614853287,0.46885907659127674,0.5446633687233827,0.46616309881210327,0.5343207063514669,0.3645549941702293,0.5571130939952021,0.5133199656258952,False,False,False,False,False,False,False,False,False,False
IPAD1_50%,0.5104793906211853,0.4936009856082045,0.3276694825822722,0.48831784180494786,0.4989996971276576,0.4627258777618408,0.5384610084315405,0.36842055637098525,0.5817600698787049,0.5011607673463105,False,False,False,False,False,False,False,False,False,False
IPAD1_25%,0.5110005736351013,0.4933154488225005,0.32741787153586077,0.4466381241449354,0.5508877044130767,0.4556888937950134,0.5464139633426481,0.3759075483410495,0.5105422861366244,0.5877074096717786,False,False,False,False,False,False,False,False,False,False
IPAD1_3%,0.9645659923553467,0.14509030397299177,0.0782196051288953,0.07886485213591822,0.9053060349889668,0.962489664554596,0.15487267115789596,0.08393603451480239,0.08469404396829423,0.9036456217907882,False,False,False,False,True,False,False,False,False,True
IPAD2_75%,0.518185019493103,0.48544398182333387,0.3205190009463942,0.4873349515470275,0.4835676301578439,0.48119980096817017,0.5205799214965838,0.3518810708742059,0.5832577385215246,0.47006588370094526,False,False,False,False,False,False,False,False,False,False
IPAD2_50%,0.6022243797779083,0.5011897327677167,0.3343917130306415,0.4439042377178023,0.575451269488393,0.5845654010772705,0.5302532226885821,0.3607786258654467,0.5298333532535386,0.5306737581072011,False,False,False,False,False,False,False,False,False,False
IPAD2_25%,0.6463184952735901,0.450044933898985,0.290359987680865,0.49331931441598353,0.41375040434487886,0.6078938245773315,0.4996216588050315,0.33299711485245137,0.5872775682528315,0.43473409235689214,False,False,False,False,False,False,False,False,False,False
IPAD2_3%,0.8643783032894135,0.15213788878972476,0.08233184059934026,0.08900170520543031,0.5234973308087104,0.8560269474983215,0.16540648947567219,0.09015974848204872,0.09812924993759914,0.5260990949007469,False,False,False,False,False,False,False,False,False,False
L1_75%,0.4899372160434723,0.5151596349266999,0.34694614117745165,0.4855418918623225,0.5486254334474083,0.45181381702423096,0.5486757557191708,0.3780518088093089,0.5441662531643441,0.5532606232657965,False,False,False,False,False,False,False,False,False,False
L1_50%,0.5000859498977661,0.5054177748478855,0.33816659019643136,0.46772703447042674,0.5497153618088279,0.45607990026474,0.5448509824847896,0.3744296810337464,0.546221737150125,0.5434870904714468,False,False,False,False,False,False,False,False,False,False
L1_25%,0.5044805705547333,0.5013804853884408,0.33456156182404856,0.4539240937653461,0.5599182450711132,0.45359909534454346,0.5495954578823236,0.37892563207219526,0.5057620370337098,0.6017477778680359,False,False,False,False,False,False,False,False,False,False
L1_3%,0.5754733979701996,0.4268129683156286,0.27130465718284674,0.3857521044548385,0.4776564685909019,0.5223437547683716,0.4809275920520767,0.31659293496203367,0.45302685583413327,0.5124905407080894,False,False,False,False,False,False,False,False,False,False
L2_75%,0.5026821792125702,0.5031719264434273,0.3361587982832618,0.531541673067091,0.47767707215160926,0.4738597273826599,0.526871621171894,0.3576549259006386,0.6221863828498899,0.4568805927395392,False,False,False,True,False,False,False,False,True,False
L2_50%,0.4953913986682892,0.5102940240413983,0.34254680606556104,0.4734578173920402,0.5533457092054649,0.4584472179412842,0.5424124127435737,0.37213023593631195,0.5252127254890183,0.5607767521601389,False,False,False,False,False,False,False,False,False,False
L2_25%,0.5265964567661285,0.477166729568238,0.31334141355668516,0.43041166238714484,0.5353175935865236,0.46810346841812134,0.5331398200813242,0.3634564680260678,0.506897628325952,0.562247485004083,False,False,False,False,False,False,False,False,False,False
L2_3%,0.5990394651889801,0.40186684420548713,0.2514601757359191,0.3391182121663823,0.49310913912142296,0.5647406578063965,0.4368828673143828,0.2794946445016358,0.37125100192609073,0.5307036858104208,False,False,False,False,False,False,False,False,False,False
L2_0.1_75%,0.5965099930763245,0.507627766137462,0.3401482248323708,0.46571897437308846,0.5578249233032453,0.5819298028945923,0.5307247546053516,0.3612153381531985,0.5385502449416145,0.5231234261234646,False,False,False,False,False,False,False,False,False,False
L2_0.1_50%,0.601743221282959,0.4939770964654632,0.3280010518473068,0.41195177566132324,0.6167881933355722,0.5776317715644836,0.5296663555762949,0.3602354864047859,0.48572691968918386,0.5823460754092613,False,False,False,False,False,False,False,False,False,False
L2_0.1_25%,0.6094591617584229,0.49253144347961525,0.32672750708412873,0.4668390273248851,0.5212165166384054,0.5875016450881958,0.525081955825642,0.3560075476055191,0.5516809492419249,0.5009298964929008,False,False,False,False,False,False,False,False,False,False
