model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
IPAD_eq_50%,0.15360385179519653,0.9442729058463991,0.8944289779769676,0.9394999176209254,0.9490946386108051,0.14132529497146606,0.9514149814602963,0.9073322283254346,0.9459090207166125,0.9569854158430002,False,False,False,False,False,False,False,False,False,False
IPAD_eq_25%,0.24516472220420837,0.9394003907830526,0.8857257560905782,0.9196641875242438,0.960002258241405,0.22911465167999268,0.9475340484450588,0.9002990044904985,0.9315906187243933,0.9640326984608564,False,False,False,False,False,False,False,False,False,False
IPAD_eq_3%,0.5619502663612366,0.8926952127508594,0.8061874409200088,0.8256248352049783,0.9716261376805875,0.5442773103713989,0.9018025463191728,0.8211661239029487,0.8391587659623876,0.9745536479514868,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_75%,0.1525169312953949,0.9438921067576412,0.8937459068313526,0.9312063919137009,0.9569282271289022,0.13980957865715027,0.9512286143815565,0.9069932946546139,0.9382940688399234,0.9645247544476016,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_50%,0.15606918931007385,0.9418501260672788,0.8900914220844703,0.9298457906404611,0.9541684679452564,0.14584317803382874,0.9461420364933288,0.8977889518859622,0.9316252324948471,0.961118410138719,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_25%,0.2614717185497284,0.9419867034544274,0.8903354112183905,0.931585563873983,0.9526227226132035,0.24623551964759827,0.9478722966656127,0.9009099310488928,0.9363817495134299,0.9596483534507545,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_3%,0.42627573013305664,0.9031347036221444,0.8233779540701474,0.8483538264650177,0.965478702744861,0.40852466225624084,0.910171484273443,0.8351511005074574,0.8578300588598333,0.9693153019259281,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_75%,0.1526590883731842,0.945884522040931,0.8973253327731323,0.9410671009376931,0.9507515186934818,0.14107513427734375,0.9516861033254519,0.9078255151862263,0.9432796789275845,0.9602437096526658,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_50%,0.16467031836509705,0.9438116791628473,0.8936017001350347,0.9352359951513042,0.9525460887729333,0.15179792046546936,0.9505842675854655,0.9058223907109969,0.9405536077169339,0.960831180341969,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_25%,0.16229400038719177,0.9434296484118302,0.8929170187235772,0.9427652998317578,0.9440949339595074,0.14877969026565552,0.9507131287471234,0.906056441563923,0.9471363182311898,0.9543170569453279,False,False,False,False,False,False,False,False,False,False
IPAD2_L2_3%,0.3931996524333954,0.9208922891568215,0.8533831052298451,0.8918381457911878,0.9519032218100119,0.37471431493759155,0.9303614231750106,0.8697904538340459,0.9039563528743885,0.9583555236586571,False,False,False,False,False,False,False,False,False,False
